"Автор (ы)","Author full names","Идентификатор автора(ов)","Название документа","Год","Название источника","Том","Выпуск","Статья №","Страница начала","Страница окончания","Цитирования","DOI","Ссылка","Организации","Авторы организаций","Краткое описание","Ключевые слова автора","Ключевые слова указателя","Сведения о финансировании","Текст о финансировании","Спонсоры","Название конференции","Дата конференции","Место проведения конференции","Код конференции","Тип документа","СТАДИЯ ПУБЛИКАЦИИ","Open Access (открытый доступ)","Источник","EID"
"Kadyrov, S.; Azamov, A.; Abdumajitov, Y.; Turan, C.","Kadyrov, Shirali (36844229300); Azamov, Azamkhon (60030541700); Abdumajitov, Yelbek (60030541800); Turan, Cemil (56246423000)","36844229300; 60030541700; 60030541800; 56246423000","Deep reinforcement learning for dynamic vehicle routing with demand and traffic uncertainty","2025","Operations Research Perspectives","15","","100351","","","5","10.1016/j.orp.2025.100351","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012601830&doi=10.1016%2Fj.orp.2025.100351&partnerID=40&md5=3327d8cbda87a02254a2e1c9cee136c5","New Uzbekistan University, Tashkent, Uzbekistan; SDU University, Kaskelen, Almaty, Kazakhstan","Kadyrov, Shirali, New Uzbekistan University, Tashkent, Uzbekistan; Azamov, Azamkhon, New Uzbekistan University, Tashkent, Uzbekistan; Abdumajitov, Yelbek, New Uzbekistan University, Tashkent, Uzbekistan; Turan, Cemil, SDU University, Kaskelen, Almaty, Kazakhstan","The capacitated vehicle routing problem with dynamic demand and traffic conditions presents significant challenges in logistics and supply chain optimization. Traditional methods often fail to adapt to real-time uncertainties in customer demand and traffic patterns or scale to large problem instances. In this work, we propose a deep reinforcement learning framework to learn adaptive routing policies for dynamic capacitated vehicle routing problem environments with stochastic demand and traffic. Our approach integrates graph neural networks to encode spatial problem structure and proximal policy optimization to train robust policies under both demand and traffic uncertainty. Experiments on synthetic grid-based routing environments show that our method outperforms classical heuristics and greedy baselines in minimizing travel cost while maintaining feasibility. The learned policies generalize to unseen demand and traffic scenarios and scale to larger graphs than those seen during training. Our results highlight the potential of deep reinforcement learning for real-world dynamic routing problems where both demand and traffic evolve unpredictably. © 2025 The Authors","Combinatorial optimization; Deep reinforcement learning; Demand uncertainty; Graph neural networks; Markov Decision Process; Proximal policy optimization; Traffic uncertainty; Vehicle Routing Problem","","Ministry of Education and Science of the Republic of Kazakhstan, (IRN AP19675614); Ministry of Education and Science of the Republic of Kazakhstan","This research was supported by the Science Committee of the Ministry of Science and Higher Education of the Republic of Kazakhstan (No. IRN AP19675614)","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105012601830"
"Berlikozha, B.; Serek, A.; Shapay, N.; Zhukabayeva, T.; Ayub, M.S.; Nurlanov, D.","Berlikozha, Bauyrzhan (59702974900); Serek, Azamat (57207763595); Shapay, Nurshapagat (59898282500); Zhukabayeva, Tamara (54421719900); Ayub, Muhammad Shoaib (57219410756); Nurlanov, Daniyar (60111663900)","59702974900; 57207763595; 59898282500; 54421719900; 57219410756; 60111663900","Intelligent Career Path Recommendations Leveraging Blockchain and Machine Learning","2025","SIST 2025 - 2025 IEEE 5th International Conference on Smart Information Systems and Technologies, Conference Proceedings","","","","","","0","10.1109/SIST61657.2025.11139304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016843011&doi=10.1109%2FSIST61657.2025.11139304&partnerID=40&md5=629da3aa0d1a241772f03725eb9df491","Department of Information Systems, SDU University, Kaskelen, Almaty, Kazakhstan; School of Information Technology and Engineering, Kazakh-British Technical University, Almaty, Kazakhstan; Department of Information Systems, L.N. Gumilyov Eurasian National University, Astana, Kazakhstan; Department of Electrical Engineering, Universidad de Santiago de Chile, Santiago, RM, Chile","Berlikozha, Bauyrzhan, Department of Information Systems, SDU University, Kaskelen, Almaty, Kazakhstan; Serek, Azamat, School of Information Technology and Engineering, Kazakh-British Technical University, Almaty, Kazakhstan; Shapay, Nurshapagat, Department of Information Systems, SDU University, Kaskelen, Almaty, Kazakhstan; Zhukabayeva, Tamara, Department of Information Systems, L.N. Gumilyov Eurasian National University, Astana, Kazakhstan; Ayub, Muhammad Shoaib, Department of Electrical Engineering, Universidad de Santiago de Chile, Santiago, RM, Chile; Nurlanov, Daniyar, Department of Information Systems, SDU University, Kaskelen, Almaty, Kazakhstan","This study explores the development of a personalized career recommendation system for students, leveraging machine learning models to predict career compatibility based on a comprehensive set of student attributes. The data set covers a wide range of variables, including GPA, certifications, hackathons, leadership skills, personality type, programming skills, and extracurricular activities. We employed five machine learning models - XGBoost, Neural Network (MLP), Logistic Regression, Random Forest, and Support Vector Machine (SVM) - to predict students' preferred career fields. Each model was rigorously tuned with hyperparameters to achieve optimal performance. Our results indicate that the Neural Network (MLP) achieved the highest precision at 92%, followed by XGBoost at 91%, Random Forest at 89%, SVM at 86%, and Logistic Regression at 85%. We evaluated these models using various metrics, including accuracy, precision, recall, and F1 score, to ensure a comprehensive assessment of their performance. To improve transparency and security, we integrated blockchain technology into the recommendation system. This integration allows for secure storage of predicted recommendations along with the underlying reasoning. The immutable nature of blockchain, verified through a blockchain integrity test, ensures data trustworthiness, prevents tampering, and promotes accountability. Our findings highlight the effectiveness of combining machine learning with blockchain technology to create a transparent, reliable, and personalized career recommendation system. This integration not only improves the accuracy of career recommendations, but also ensures the integrity and security of the recommendation process. © 2025 IEEE.","blockchain; career path recommendation; data integrity; higher education; machine learning","Digital storage; Employment; Engineering education; Intelligent systems; Learning systems; Logistic regression; Network security; Neural networks; Professional aspects; Recommender systems; Students; Support vector machines; Block-chain; Career path recommendation; Career paths; Data integrity; High educations; Logistics regressions; Machine learning models; Machine-learning; Neural-networks; Random forests; Blockchain","","","","5th IEEE International Conference on Smart Information Systems and Technologies, SIST 2025","2025-05-14 through 2025-05-16","Astana","212010","Conference paper","Final","","Scopus","2-s2.0-105016843011"
"Mamatnabiyev, Z.","Mamatnabiyev, Zhumaniyaz (57207760346)","57207760346","Enhancing IoT Education with an Educational Robot: A Case Study on Hands-On Learning","2025","SIST 2025 - 2025 IEEE 5th International Conference on Smart Information Systems and Technologies, Conference Proceedings","","","","","","0","10.1109/SIST61657.2025.11139247","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016841702&doi=10.1109%2FSIST61657.2025.11139247&partnerID=40&md5=92bd135c7c45fc8c6aa128351158d796","Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan","Mamatnabiyev, Zhumaniyaz, Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan","In today's fast-paced world, the integration of educational robots into the Internet of Things (IoT)-related courses has proven to be a game-changer. This paper presents a case study on the integration of IoTXplorBot - a low-cost, open-source educational robot - into an IoT curriculum to enhance hands-on learning. A comparative experiment was conducted within an IoT course, divided into traditional and experimental groups. While the control group used simulation tools and development kits, the experimental group engaged in progressively challenging activities using the IoTXplorBot. Results showed a significant increase in learning outcomes, with the experimental group outperforming the control group in final project scores (63.9 vs. 53.4), creativity, and engagement. Qualitative feedback from students underscored the robot's positive influence on their motivation and learning journey. The study concludes that integrating an open-source and open-design robot into the educational process can significantly enhance IoT education by effectively bridging the gap between theoretical instruction and real-world application. © 2025 IEEE.","educational robots; hands-on learning; internet of things; IoT in education; robotics in education","Curricula; E-learning; Educational robots; Intelligent robots; Open source software; Open systems; Case-studies; Comparative experiments; Control groups; Experimental groups; Hands-on learning; Internet of thing in education; Learning outcome; Low-costs; Open-source; Robotic in education; Internet of things; Machine design","Suleyman Demirel University, SDU","This research was conducted under the SDU University Internal Research Grant, Kazakhstan.","","5th IEEE International Conference on Smart Information Systems and Technologies, SIST 2025","2025-05-14 through 2025-05-16","Astana","212010","Conference paper","Final","","Scopus","2-s2.0-105016841702"
"Sharimbayev, B.; Kadyrov, S.","Sharimbayev, Batyr (59566921100); Kadyrov, Shirali (36844229300)","59566921100; 36844229300","Text Classification for AI Generated Content with Machine Learning and Deep Learning Models","2025","SIST 2025 - 2025 IEEE 5th International Conference on Smart Information Systems and Technologies, Conference Proceedings","","","","","","0","10.1109/SIST61657.2025.11139296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016841572&doi=10.1109%2FSIST61657.2025.11139296&partnerID=40&md5=ff7b8dd4409d74635dddfb773f7649df","Department of Mathematics and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Department of General Education, New Uzbekistan University, Tashkent, Uzbekistan","Sharimbayev, Batyr, Department of Mathematics and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Kadyrov, Shirali, Department of General Education, New Uzbekistan University, Tashkent, Uzbekistan","The rapid development of generative AI models, such as GPT-4, LLaMA, and Gemini, is causing an explosion of AI-generated text that may be akin to human writing. This poses a challenge in differentiating between AI-generated content and human-authored text across a range of verticals: academic integrity, misinformation detection, and content moderation. This paper presents a comparison of machine learning and deep learning models on the classifier for AI-generated text. We compare the performance of Logistic Regression with TF-IDF features, a Bi-LSTM model, and a fine-tuned DistilBERT model on data from the COLING Workshop on MGT Detection Task 1, involving text samples from five AI models and human authors. Our experiments showed that Bi-LSTM outperforms other models, yielding the best results in accuracy (90.09%) and F1-score (90.02%). We further present the binary classification performance that distinguishes AI-generated text from human-written content, with an accuracy of 95.9%. It is suggested that deep learning methods are competent in detecting AI-generated text, though there are certain limitations, including adversarial attacks and changing styles of AI-generated writing. Future work will be focused on enhancing model robustness through adversarial training and hybrid architectures. © 2025 IEEE.","AI-generated text; Bi-LSTM; deep learning; DistilBERT; machine learning; text classification","Adversarial machine learning; Classification (of information); Generative adversarial networks; Learning systems; Logistic regression; Text processing; Academic integrity; AI-generated text; Bi-LSTM; Deep learning; Distilbert; Learning models; Logistics regressions; Machine-learning; Performance; Text classification","Ministry of Education and Science of the Republic of Kazakhstan","This research work is supported by project AP23487777 of the Ministry of Science and Higher Education of the Republic of Kazakhstan","","5th IEEE International Conference on Smart Information Systems and Technologies, SIST 2025","2025-05-14 through 2025-05-16","Astana","212010","Conference paper","Final","","Scopus","2-s2.0-105016841572"
"Moldashev, K.; Sahimbekov, B.; Kozhakhmet, S.","Moldashev, Kairat (57195416591); Sahimbekov, Birzhan (59672625300); Kozhakhmet, Sanat (57193951441)","57195416591; 59672625300; 57193951441","The institutional logics of research commercialisation: Reform, misalignment, and hybridisation","2025","Social Sciences and Humanities Open","12","","102000","","","2","10.1016/j.ssaho.2025.102000","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015885886&doi=10.1016%2Fj.ssaho.2025.102000&partnerID=40&md5=5223150127dc1a3058fea9086f6d6bb2","SDU University, Kaskelen, Almaty, Kazakhstan; Narxoz University, Almaty, Kazakhstan; Oxford Brookes Business School, Oxford, Oxfordshire, United Kingdom","Moldashev, Kairat, SDU University, Kaskelen, Almaty, Kazakhstan; Sahimbekov, Birzhan, Narxoz University, Almaty, Kazakhstan; Kozhakhmet, Sanat, Oxford Brookes Business School, Oxford, Oxfordshire, United Kingdom","This study uses institutional logics theory to explore the dynamics of research commercialisation in Kazakhstan. It offers a novel perspective on the interaction between universities, industry, and the state in a post-Soviet context. While Kazakhstan's policy discourse reflects a shift toward the Triple Helix model, empirical evidence shows a persistence of statist structures, fragmented policies, and institutional misalignments that hinder authentic collaboration. Drawing on 18 qualitative interviews with researchers, technology transfer staff, and industry representatives, the study demonstrates how competing institutional logics, academic, state, market, and managerial, shape actors' expectations, roles, and strategic responses. It finds that universities remain dominated by academic and bureaucratic norms, while industry actors often pursue short-term goals, lacking absorptive capacity and risk appetite. Despite recent reforms promoting industry engagement through increased requirements for co-financing research commercialisation projects, institutional contradictions lead to symbolic compliance rather than effective partnerships. The study also highlights emerging hybrid practices efforts but argues that deeper alignment of logics and systemic support mechanisms is needed for sustainable transformation. © 2025 The Authors","Innovation policy; Institutional logics; Post-soviet; Research commercialisation; Triple helix","","World Bank Group, WBG; Ministry of Education and Science of the Republic of Kazakhstan, (BR21882077); Ministry of Education and Science of the Republic of Kazakhstan","Funding text 1: Alongside initiatives such as business incubators and technoparks, several attempts were made to boost research commercialisation through grants supported by the World Bank in the 2010s (Guimon, 2017). Since 2022, the Kazakh government has embarked on an ambitious effort to revamp its science and technology (S&T) policy. Central to these reforms has been dividing the Ministry of Education and Science (responsible both for tertiary and school education) into two bodies, assigning higher education to a dedicated Ministry of Science and Higher Education; transferring regulative authority from the Prime Minister's Office to the ministerial level; increasing state funding; and shifting priority towards funding applied research and commercialisation. The government re-launched annual calls for the previously paused commercialisation grant program with new demands for university-industry cooperation.This work was supported by the Science Committee of the Ministry of Science and Higher Education of the Republic of Kazakhstan (Grant number BR21882077).; Funding text 2: This work was supported by the Science Committee of the Ministry of Science and Higher Education of the Republic of Kazakhstan (Grant number BR21882077 ).","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105015885886"
"Baimukashev, R.; Kadyrov, S.; Turan, C.","Baimukashev, Rashid (58414975800); Kadyrov, Shirali (36844229300); Turan, Cemil (56246423000)","58414975800; 36844229300; 56246423000","Systematic Survey of Deep Fuzzy Computer Vision in Biomedical Research","2024","Fuzzy Information and Engineering","16","3","","220","243","2","10.26599/FIE.2024.9270043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210479085&doi=10.26599%2FFIE.2024.9270043&partnerID=40&md5=c388a78a6dc112d3e92e23a5b035461d","Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan; Department of General Education, New Uzbekistan University, Tashkent, Uzbekistan","Baimukashev, Rashid, Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan; Kadyrov, Shirali, Department of General Education, New Uzbekistan University, Tashkent, Uzbekistan; Turan, Cemil, Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan","This systematic survey explores the landscape of fuzzy computer vision techniques in biomedical research using articles from the Scopus database over the past decade. With a focus on methodologies, applications, and challenges, the survey aims to guide future research at the intersection of fuzzy logic and computer vision in biomedicine. Emphasizing applications such as dental image analysis and brain tumor detection, the paper showcases the collaborative potential of deep learning and fuzzy logic in enhancing biomedical image analysis. Despite notable advancements, challenges like model interpretability and scalability persist. The survey concludes by proposing future research directions, underscoring the pivotal role of fuzzy computer vision in advancing biomedical research. © 2009 Tsinghua University Press.","algorithm; artificial intellegence; biomedical research; deep learning; deep neural networks; fuzzy computer vision; image analysis","","Ministry of Education and Science of the Republic of Kazakhstan, (IRN AP19675614); Ministry of Education and Science of the Republic of Kazakhstan","This research was supported by the Science Committee of the Ministry of Science and Higher Education of the Republic of Kazakhstan (No. IRN AP19675614).","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85210479085"
"Kadyrov, S.; Aitzhanov, Y.; Shynarbek, N.","Kadyrov, Shirali (36844229300); Aitzhanov, Yerimbet (59257593900); Shynarbek, Nurdaulet (57459629800)","36844229300; 59257593900; 57459629800","Genetic Algorithm Approaches for Parameter Estimation and Global Stability in Fuzzy Epidemic Modeling","2024","Fuzzy Information and Engineering","16","2","","144","154","3","10.26599/FIE.2024.9270038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201087426&doi=10.26599%2FFIE.2024.9270038&partnerID=40&md5=2d8afbead401b45512527ff51647cb68","Faculty of Science and Technology, Oxus University, Tashkent, Uzbekistan; Department of Mathematics and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Science and Mathematics Education, SDU University, Kaskelen, Almaty, Kazakhstan","Kadyrov, Shirali, Faculty of Science and Technology, Oxus University, Tashkent, Uzbekistan; Aitzhanov, Yerimbet, Department of Mathematics and Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Shynarbek, Nurdaulet, Department of Science and Mathematics Education, SDU University, Kaskelen, Almaty, Kazakhstan","This paper explores the synergy between fuzzy set theory and genetic algorithms in the domain of epidemic modeling, shedding light on the broader challenges inherent in infectious diseases. In response to the evolving landscape of epidemiology, the study advocates for sophisticated modeling techniques to better understand and predict dynamic scenarios. The research thoroughly investigates the global stability of equilibrium solutions within a fuzzy epidemic model, accompanied by an inventive parameter estimation methodology. Utilizing Lyapunov functions, the paper establishes global stability outcomes for both disease-free and endemic equilibria. The novel approach, integrating continued fraction theory and a genetic algorithm, is applied to fit real-world epidemic data, offering insights crucial for public health planning and control measures. By addressing unexplored facets and bridging gaps in previous research, the paper contributes to a more comprehensive understanding of epidemic dynamics, providing a foundation for effective public health strategies in the face of infectious diseases. © 2009 Tsinghua University Press.","continued fraction; epidemic modeling; fuzzy set theory; genetic algorithms; global stability analysis; Infected; Lyapunov functions; parameter estimation; Recovered (SIR) fuzzy model; Susceptible","","Ministry of Education and Science of the Republic of Kazakhstan, (AP19676669)","This work was supported by the Science Committee of the Ministry of Science and Higher Education of the Republic of Kazakhstan (No. AP19676669).","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85201087426"
"Kozhakhmet, S.; Boranbayeva, A.; Gassanova, A.","Kozhakhmet, Sanat (57193951441); Boranbayeva, Ainur (57293034400); Gassanova, Amina (57286546500)","57193951441; 57293034400; 57286546500","The interplay of access to organisational resources, firm innovativeness, and cooperative norms in technology transfer: testing a moderated mediation model","2024","Technology Analysis and Strategic Management","36","3","","486","500","1","10.1080/09537325.2022.2037543","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124757395&doi=10.1080%2F09537325.2022.2037543&partnerID=40&md5=08e238bdb6f9883021fb360085d0aac7","School of Business, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Management, Al Farabi Kazakh National University, Almaty, Kazakhstan","Kozhakhmet, Sanat, School of Business, SDU University, Kaskelen, Almaty, Kazakhstan; Boranbayeva, Ainur, Department of Management, Al Farabi Kazakh National University, Almaty, Kazakhstan; Gassanova, Amina, School of Business, SDU University, Kaskelen, Almaty, Kazakhstan","In recent decades, many developing countries have launched transfer initiatives to develop their infrastructure, economy, and standard of living because they have not had the knowledge and technical expertise to implement large and complex infrastructure projects. Therefore, scholars have examined the technology transfer process from various perspectives. However, there is still a lack of understating of how access to organisational resources may indirectly relate to the technology transfer process. Thus, the current study aims to address these limitations by examining how firm innovativeness mediates between access to organisational resources and international technology transfer. Based on social exchange theory and using a resource-based view, we aim to assess the potential mediating role of firm innovativeness and the moderating role of cooperative norms. Data were collected from 150 middle and top managers at innovative agricultural companies in Kazakhstan. The results show that firm innovativeness mediates access to organisational resources and technology transfer. Moreover, the moderating role of cooperative norms on the path between firm innovativeness and technology transfer was proved. © 2022 Informa UK Limited, trading as Taylor & Francis Group.","Access to organisational resources; cooperative norms; firm innovativeness; innovative agriculture; technology transfer","accessibility; agroindustry; developing world; economic development; industrial performance; infrastructural development; innovation; living standard; management practice; organizational framework; resource allocation; technological development; technology transfer; Kazakhstan","","","","","","","","Article","Final","","Scopus","2-s2.0-85124757395"
"Bogyrbayeva, A.; Yoon, T.; Ko, H.; Lim, S.; Yun, H.; Kwon, C.","Bogyrbayeva, Aigerim (57218692430); Yoon, Taehyun (57387498000); Ko, Hanbum (57387307000); Lim, Sungbin (56535694500); Yun, Hyokun (55620218500); Kwon, Changhyun (16067063800)","57218692430; 57387498000; 57387307000; 56535694500; 55620218500; 16067063800","A deep reinforcement learning approach for solving the Traveling Salesman Problem with Drone","2023","Transportation Research Part C: Emerging Technologies","148","","103981","","","87","10.1016/j.trc.2022.103981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146047173&doi=10.1016%2Fj.trc.2022.103981&partnerID=40&md5=17a8d55142e171e7b8bb3789cf376bf0","SDU University, Kaskelen, Almaty, Kazakhstan; UNIST, Earth, Ulsan, South Korea; Korea University, Seoul, South Korea; Amazon.com, Inc., Seattle, WA, United States; University of South Florida, Saint Petersberg, FL, United States","Bogyrbayeva, Aigerim, SDU University, Kaskelen, Almaty, Kazakhstan; Yoon, Taehyun, UNIST, Earth, Ulsan, South Korea; Ko, Hanbum, UNIST, Earth, Ulsan, South Korea; Lim, Sungbin, Korea University, Seoul, South Korea; Yun, Hyokun, Amazon.com, Inc., Seattle, WA, United States; Kwon, Changhyun, University of South Florida, Saint Petersberg, FL, United States","Reinforcement learning has recently shown promise in learning quality solutions in many combinatorial optimization problems. In particular, the attention-based encoder-decoder models show high effectiveness on various routing problems, including the Traveling Salesman Problem (TSP). Unfortunately, they perform poorly for the TSP with Drone (TSP-D), requiring routing a heterogeneous fleet of vehicles in coordination—a truck and a drone. In TSP-D, the two vehicles are moving in tandem and may need to wait at a node for the other vehicle to join. State-less attention-based decoder fails to make such coordination between vehicles. We propose a hybrid model that uses an attention encoder and a Long Short-Term Memory (LSTM) network decoder, in which the decoder's hidden state can represent the sequence of actions made. We empirically demonstrate that such a hybrid model improves upon a purely attention-based model for both solution quality and computational efficiency. Our experiments on the min-max Capacitated Vehicle Routing Problem (mmCVRP) also confirm that the hybrid model is more suitable for the coordinated routing of multiple vehicles than the attention-based model. The proposed model demonstrates comparable results as the operations research baseline methods. © 2023 Elsevier Ltd","Drones; Neural networks; Reinforcement learning; Traveling salesman problem; Vehicle routing","Combinatorial optimization; Computational efficiency; Decoding; Drones; Fleet operations; Learning systems; Long short-term memory; Reinforcement learning; Signal encoding; Vehicle routing; Combinatorial optimization problems; Encoder-decoder; Heterogeneous fleet; Hybrid model; Learning quality; Neural-networks; Reinforcement learning approach; Reinforcement learnings; Routing problems; Routings; Traveling salesman problem; artificial neural network; machine learning; optimization; transportation technology; unmanned vehicle","Süleyman Demirel Üniversitesi, SDÜ; National Research Foundation of Korea, NRF, (2021H1D3A2A01039401, 2021R1A4A3033149); National Research Foundation of Korea, NRF; Ulsan National Institute of Science and Technology, UNIST, (1.210107.01); Ulsan National Institute of Science and Technology, UNIST; Institute for Information and Communications Technology Promotion, IITP, (2020-0-01336); Institute for Information and Communications Technology Promotion, IITP; National Science Foundation, NSF, (CMMI-2032458); National Science Foundation, NSF","This work was supported by the Institute of Information & Communications Technology Planning & Evaluation (IITP), South Korea grant ( 2020-0-01336 , Artificial Intelligence Graduate School Program, UNIST, South Korea ), 2021 Research Fund (1.210107.01) of UNIST, the National Research Foundation of Korea ( 2021R1A4A3033149 and 2021H1D3A2A01039401 ), the National Science Foundation of the U.S. ( CMMI-2032458 ), and the internal grant of Suleyman Demirel University 2021\u20132022.","","","","","","Article","Final","","Scopus","2-s2.0-85146047173"
"Turan, C.; Orazbayeva, N.; Kali, V.","Turan, Cemil (56246423000); Orazbayeva, Nagima (58414201200); Kali, Venera (58411909300)","56246423000; 58414201200; 58411909300","Discovering Kazakh facial phenotype","2023","Proceedings - 2023 17th International Conference on Electronics Computer and Computation, ICECCO 2023","","","","","","0","10.1109/ICECCO58239.2023.10146605","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163794133&doi=10.1109%2FICECCO58239.2023.10146605&partnerID=40&md5=1ecb1a17157806bc67e85a8a3d6e7715","Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan","Turan, Cemil, Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan; Orazbayeva, Nagima, Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan; Kali, Venera, Department of Computer Science, SDU University, Kaskelen, Almaty, Kazakhstan","This article discusses the potential applications of face-morphing technology, which has become popular in the field of Computer Vision. In this work, we focus on finding the average face of the Kazakh nation by combining different photos of Kazakh men and women separately. We believe that having an average face for our nation will help other nations quickly identify Kazakh people and can provide insight into its culture and characteristics. The project involves finding all face points and placing them in their initial perfect position with the help of face detection. We use OpenCV as a computational platform and the methods of face detection and face morphing by computer vision to accomplish our goal. © 2023 IEEE.","Average face; Face detection; Face morphing","Computer vision; Average face; Computational platforms; Face Morphing; Faces detection; Face recognition","","","","17th International Conference on Electronics Computer and Computation, ICECCO 2023","2023-06-01 through 2023-06-02","Kaskelen","189431","Conference paper","Final","","Scopus","2-s2.0-85163794133"
